Industry,Total followers
Higher Education,781
Non-profit Organizations,681
Software Development,562
IT Services and IT Consulting,529
Banking,417
Business Consulting and Services,366
Hospitals and Health Care,319
Financial Services,312
Government Administration,262
"Technology, Information and Internet",259
Research Services,217
Telecommunications,194
Civic and Social Organizations,147
Advertising Services,147
International Trade and Development,144
International Affairs,140
Education Administration Programs,122
Professional Training and Coaching,117
Airlines and Aviation,88
Construction,88
Accounting,85
"Transportation, Logistics, Supply Chain and Storage",63
Manufacturing,63
Education,62
Medical Practices,61
Food and Beverage Services,57
Civil Engineering,56
Food and Beverage Manufacturing,53
Medical Equipment Manufacturing,53
Information Services,52
Hospitals,51
Emergency and Relief Services,50
"Appliances, Electrical, and Electronics Manufacturing",50
Real Estate,48
Oil and Gas,47
Retail,46
Industrial Machinery Manufacturing,46
IT System Custom Software Development,45
Pharmaceutical Manufacturing,44
"Agriculture, Construction, Mining Machinery Manufacturing",44
Internet Marketplace Platforms,40
Outsourcing and Offshoring Consulting,40
Biotechnology Research,40
Human Resources Services,38
Marketing Services,38
Wholesale Import and Export,37
Credit Intermediation,37
Events Services,36
Internet Publishing,36
Environmental Services,36
Hospitality,35
Philanthropic Fundraising Services,34
Security and Investigations,33
Retail Apparel and Fashion,32
Public Health,32
Computer and Network Security,31
Law Practice,31
Investment Management,30
Architecture and Planning,29
Media Production,29
E-Learning Providers,29
Strategic Management Services,28
Health and Human Services,27
Travel Arrangements,27
Legal Services,27
Beverage Manufacturing,27
Wellness and Fitness Services,27
Design Services,26
"Technology, Information and Media",25
Venture Capital and Private Equity Principals,25
Primary and Secondary Education,25
Broadcast Media Production and Distribution,25
Staffing and Recruiting,24
Utilities,24
Wholesale Raw Farm Products,24
Government Relations Services,24
Chemical Manufacturing,24
Wholesale Alcoholic Beverages,24
Truck Transportation,23
Engineering Services,22
Capital Markets,21
Farming,20
Family Planning Centers,19
Business Content,19
Professional Organizations,19
Insurance,19
Public Relations and Communications Services,17
Market Research,17
Textile Manufacturing,17
Computers and Electronics Manufacturing,17
Data Infrastructure and Analytics,17
Mental Health Care,16
Book and Periodical Publishing,15
Motor Vehicle Manufacturing,15
Graphic Design,15
Entertainment Providers,14
Machinery Manufacturing,14
Industry Associations,14
Consumer Services,14
Restaurants,13