Job function,Total followers
Business Development,1074
Engineering,930
Operations,671
Education,661
Information Technology,595
Sales,415
Community and Social Services,386
Research,372
Healthcare Services,301
Program and Project Management,279
Finance,268
Administrative,221
Marketing,214
Media and Communication,199
Human Resources,192
Arts and Design,178
Customer Success and Support,148
Consulting,144
Accounting,123
Legal,87
Military and Protective Services,68
Product Management,59
Entrepreneurship,49
Quality Assurance,47
Purchasing,34
Real Estate,27