Location,Total followers
"Addis Ababa, Ethiopia",5182
"Bahir Dar City, Amhara, Ethiopia, Ethiopia",146
"Hawassa, Ethiopia",110
"Nairobi County, Kenya",98
Washington DC-Baltimore Area,98
"Mek'elē, Ethiopia",95
"Adama, Ethiopia",73
"Gonder, Ethiopia",58
New York City Metropolitan Area,33
Greater Seattle Area,30
"Arba Minch, Ethiopia",29
"Hargeisa, Somalia",29
"London Area, United Kingdom, United Kingdom",27
"Jimma, Ethiopia",25
"Kampala, Uganda",24
"Greater Toronto Area, Canada, Canada",21
"Dar es Salaam, Tanzania",21
Dallas-Fort Worth Metroplex,20
"Johannesburg Metropolitan Area, South Africa",18
"Grand Tunis Metropolitan Area, Tunisia",17
Atlanta Metropolitan Area,16
Greater Boston,15
"Cairo, Egypt",13
"Axum, Ethiopia",13
"Debre Markos, Ethiopia",13
"Borena, Ethiopia",12
"City of Cape Town, South Africa",11
Los Angeles Metropolitan Area,11
"Greater Chennai Area, India",10
"Greater Delhi Area, India",10
"The Randstad, Netherlands, Netherlands",10
"Greater Rome Metropolitan Area, Italy",9
"Berlin Metropolitan Area, Germany",9
"Mumbai Metropolitan Region, India",9
San Francisco Bay Area,9
"Shashamane, Ethiopia",9
"Greater Melbourne Area, Australia",9
"Adigrat, Ethiopia",9
"Greater Hyderabad Area, India",9
"Greater Istanbul, Türkiye",8
"Greater Stockholm Metropolitan Area, Sweden",8
"Hong Kong SAR, China",8
Greater Minneapolis-St. Paul Area,8
"Greater Calgary Metropolitan Area, Canada",8
"Greater Munich Metropolitan Area, Germany",7
"Geneva Metropolitan Area, Switzerland",7
Greater Chicago Area,7
"Dire Dawa, Ethiopia",7
"Pretoria Metropolitan Area, South Africa",6
"Brussels Metropolitan Area, Belgium",6
"Greater Hamburg Area, Germany",6
"Greater Milan Metropolitan Area, Italy",6
"Warsaw Metropolitan Area, Poland",6
"Beijing, China",6
"Greater Bengaluru Area, India",6
"Abuja, Nigeria",6
"Greater Paris Metropolitan Region, France",6
"Cologne Bonn Region, Germany",5
"Asela, Ethiopia",5
"Lusaka, Zambia",5
"Greater Vancouver Metropolitan Area, Canada",5
"Ouagadougou, Burkina Faso",5
"Portland, Oregon Metropolitan Area",5
"Le Plateau, Côte d'Ivoire",5
"Debre Tabor, Ethiopia",5
Denver Metropolitan Area,5
Greater Richmond Region,4
"Lahore, Pakistan",4
"Abu Dhabi, United Arab Emirates",4
"Durban Metropolitan Area, South Africa",4
Raleigh-Durham-Chapel Hill Area,4
"Goma, Democratic Republic of the Congo",4
"Jakarta Metropolitan Area, Indonesia",4
"Kinshasa, Democratic Republic of the Congo",4
"Greater Barcelona Metropolitan Area, Spain",4
"Greater Madrid Metropolitan Area, Spain",4
"Rabat Metropolitan Area, Morocco",4
"Juba, South Sudan",4
"Casablanca Metropolitan Area, Morocco",4
"Makkah Region, Saudi Arabia",4
"Louvain Metropolitan Area, Belgium",4
Greater Philadelphia,4
"Greater Coimbatore Area, India",4
"Bangkok Metropolitan Area, Thailand",4
Greater St. Louis,4
"Djibouti, Djibouti",4
"Zanzibar City, Tanzania",3
"Austin, Texas Metropolitan Area",3
"Lagos, Nigeria",3
"Rhein-Neckar Metropolitan Region, Germany",3
"Karāchi, Pakistan",3
Miami-Fort Lauderdale Area,3
"Gaborone, Botswana",3
"Greater Salzburg, Austria",3
"Polokwane, South Africa",3
Nashville Metropolitan Area,3
"Frankfurt Rhine-Main Metropolitan Area, Germany",3
"Greater Bern Area, Switzerland",3
"Communauté urbaine de Douala, Cameroon",3
"Shanghai, China",3